iter	Passed	Remaining
1344	4776	5877
1345	4778	5871
1346	4780	5866
1347	4783	5861
1348	4785	5856
1349	4787	5851
1350	4791	5847
1351	4794	5843
1352	4796	5839
1353	4799	5834
1354	4801	5828
1355	4804	5824
1356	4807	5820
1357	4810	5816
1358	4813	5812
1359	4816	5808
1360	4820	5804
1361	4822	5799
1362	4827	5797
1363	4830	5793
1364	4834	5790
1365	4839	5788
1366	4844	5786
1367	4846	5781
1368	4851	5779
1369	4854	5775
1370	4857	5771
1371	4859	5766
1372	4862	5762
1373	4867	5759
1374	4870	5756
1375	4874	5752
1376	4879	5751
1377	4882	5747
1378	4885	5743
1379	4888	5739
1380	4891	5734
1381	4894	5730
1382	4897	5725
1383	4899	5720
1384	4901	5715
1385	4903	5710
1386	4906	5705
1387	4908	5700
1388	4911	5696
1389	4913	5691
1390	4915	5686
1391	4918	5681
1392	4920	5676
1393	4922	5671
1394	4924	5666
1395	4927	5661
1396	4930	5657
1397	4938	5658
1398	4942	5655
1399	4945	5651
1400	4948	5647
1401	4958	5651
1402	4964	5650
1403	4968	5648
1404	4970	5643
1405	4975	5640
1406	4981	5639
1407	4983	5634
1408	4986	5630
1409	4989	5625
1410	4991	5621
1411	4995	5618
1412	4998	5614
1413	5004	5612
1414	5006	5608
1415	5009	5604
1416	5013	5601
1417	5019	5599
1418	5022	5596
1419	5025	5591
1420	5027	5586
1421	5030	5582
1422	5034	5578
1423	5036	5573
1424	5041	5572
1425	5046	5570
1426	5049	5566
1427	5052	5561
1428	5054	5557
1429	5057	5552
1430	5062	5551
1431	5067	5548
1432	5072	5546
1433	5074	5541
1434	5077	5537
1435	5084	5537
1436	5090	5537
1437	5094	5533
1438	5096	5528
1439	5100	5525
1440	5102	5520
1441	5104	5515
1442	5106	5510
1443	5109	5505
1444	5111	5500
1445	5113	5495
1446	5115	5490
1447	5118	5485
1448	5120	5480
1449	5122	5475
1450	5124	5471
1451	5127	5466
1452	5129	5461
1453	5131	5456
1454	5133	5451
1455	5135	5446
1456	5137	5441
1457	5139	5436
1458	5143	5432
1459	5145	5427
1460	5147	5422
1461	5151	5419
1462	5154	5415
1463	5158	5411
1464	5160	5407
1465	5164	5403
1466	5167	5399
1467	5170	5396
1468	5174	5392
1469	5177	5388
1470	5187	5391
1471	5190	5388
1472	5193	5384
1473	5197	5381
1474	5200	5376
1475	5202	5372
1476	5205	5367
1477	5207	5362
1478	5210	5358
1479	5213	5354
1480	5218	5352
1481	5220	5347
1482	5222	5342
1483	5225	5337
1484	5227	5332
1485	5230	5329
1486	5232	5324
1487	5235	5319
1488	5237	5314
1489	5239	5309
1490	5241	5305
1491	5243	5300
1492	5247	5296
1493	5249	5292
1494	5252	5287
1495	5254	5282
1496	5256	5277
1497	5258	5272
1498	5263	5270
1499	5267	5267
1500	5272	5265
1501	5279	5265
1502	5283	5262
1503	5288	5260
1504	5291	5256
1505	5298	5256
1506	5301	5251
1507	5304	5248
1508	5307	5244
1509	5312	5241
1510	5315	5238
1511	5318	5234
1512	5321	5230
1513	5324	5225
1514	5326	5220
1515	5328	5216
1516	5330	5211
1517	5333	5206
1518	5335	5201
1519	5337	5196
1520	5339	5192
1521	5342	5187
1522	5345	5183
1523	5348	5180
1524	5355	5179
1525	5359	5177
1526	5362	5172
1527	5365	5168
1528	5367	5163
1529	5369	5159
1530	5372	5155
1531	5376	5151
1532	5379	5147
1533	5382	5144
1534	5385	5140
1535	5392	5139
1536	5395	5136
1537	5401	5134
1538	5403	5129
1539	5406	5125
1540	5409	5121
1541	5411	5116
1542	5414	5112
1543	5417	5109
1544	5423	5107
1545	5426	5103
1546	5430	5100
1547	5433	5096
1548	5436	5092
1549	5439	5088
1550	5442	5084
1551	5444	5080
1552	5447	5075
1553	5449	5070
1554	5451	5066
1555	5454	5061
1556	5457	5057
1557	5460	5053
1558	5463	5049
